,State,Job,Companies,Location,Summary,Salary,Links,Post_Date
29, Maharashtra,Senior manager_Project Manager_Data Science-GBIS_Pune,Vodafone,"Pune, Maharashtra","Provides deep technical analytical and data expertise to the business and other Data Scientists, using a wide variety of available data, to solve complex…",No Salary,/rc/clk?jk=f8ca83db77f2d83f&fccid=374d720d3973ca1c&vjs=3,08-27-2022
30, Maharashtra,Staff Engineer - Big Data,Seagate Technology,"Pune, Maharashtra",Solid technical skills with a proven and successful history working with data at scale and empowering organizations through data.,No Salary,/rc/clk?jk=07efbb279dceb317&fccid=eb193642f8c64a12&vjs=3,08-27-2022
31, Telangana,Manager - Data Science,Thomson Reuters,"Hyderabad, Telangana","Provide thought leadership within marketing and across TR on topics including internal processes, technology system rules, analytics, data engineering, data…",No Salary,/rc/clk?jk=78fc6e6d8a2e1ffc&fccid=f4c6ed63cbcfdc0d&vjs=3,08-27-2022
32, Karnataka,"Applied Scientist, Alexa Speech, Alexa Speech Science",ADCI - Karnataka,"Bengaluru, Karnataka","As part of the expansion, the team will be responsible for complex ML technologies such as (i) learning without relying on human transcribed data by leveraging…",No Salary,/rc/clk?jk=6d598d59ccb0489a&fccid=fe2d21eef233e94a&vjs=3,08-27-2022
33, Haryana,"Data Science Associate Consultant (New Delhi, India)",ZS,"Gurgaon, Haryana","Execute statistical and data mining techniques (e.g. hypothesis testing, machine learning and retrieval processes) on large data sets to identify trends,…",No Salary,/rc/clk?jk=57619ca44a2d9e90&fccid=f349f6e84d53b739&vjs=3,08-27-2022
34, Maharashtra,"Senior Director, Head of Data Science, INSA",Visa,"Mumbai, Maharashtra","Lead a team of data scientists to support data science projects for the geo, including project oversight, coaching and professional development.",No Salary,/rc/clk?jk=5122a452605cc843&fccid=a3f737e511d9fc8c&vjs=3,08-27-2022
35, Maharashtra,"Senior Director, Head of Data Science, INSA",Visa,"Mumbai, Maharashtra","Lead a team of data scientists to support data science projects for the geo, including project oversight, coaching and professional development.",No Salary,/rc/clk?jk=5122a452605cc843&fccid=a3f737e511d9fc8c&vjs=3,08-27-2022
36, Haryana,"Data Science Consultant (New Delhi, India)",ZS Associates,"Gurgaon, Haryana","Data Science Consultants (DSCs) design, develop and execute high-impact analytics solutions for large, complex, structured and unstructured data sets (including…",No Salary,/rc/clk?jk=f469591ffe3e5c2f&fccid=f349f6e84d53b739&vjs=3,08-27-2022
37, Telangana,Data Scientist,Inumellas Consultancy Services,"Hyderabad, Telangana","Expertise in Dialog flow API, Deep Learning, NLP, Machine Learning Algorithms, SQL, Neo4J, Dockers, Redis. Should have working with Deep Learning models such as…","₹6,00,000 - ₹18,00,000 a year",/company/Inumellas-Consultancy-Services/jobs/Data-Scientist-fd5a89e73273cbe3?fccid=db2cca3d9451cb23&vjs=3,08-27-2022
38, Maharashtra,Machine Learning Intern,Automate Engineering,"Narhe, Pune, Maharashtra","View all Automate Engineering jobs - Narhe, Pune, Maharashtra jobs Salary Search: Machine Learning Intern salaries in Narhe, Pune, Maharashtra","₹10,000 - ₹15,000 a month",/company/Automate-Engineering/jobs/Machine-Learning-Intern-ea0ad5ff0c66d775?fccid=84aa9e5952a83ee2&vjs=3,08-27-2022
39, Uttar Pradesh,AI & Machine Learning Developer,ASUUN WELLNESS PRIVATE LIMITED,"Remote in Noida, Uttar Pradesh","Understanding of machine learning techniques, data structures, algorithms and statistics. This is the permanent *WORK FROM HOME (WFH) *position and person…","₹10,00,000 - ₹12,00,000 a year",/company/ASUUN-WELLNESS-PRIVATE-LIMITED/jobs/Ai-Machine-Learning-Developer-6b1fededaa3d05ae?fccid=fefa3a5fec92a4de&vjs=3,08-27-2022
40, Maharashtra,Machine Learning Engineer,Pressman Advertising Ltd,"Mumbai, Maharashtra",Searching and selecting appropriate data sets before performing data collection and data modeling. Verifying data quality and/or ensuring it via data cleaning.,"₹25,000 - ₹40,000 a month",/company/Pressman-Advertising-Ltd/jobs/Machine-Learning-Engineer-78875b918204a133?fccid=7c1b4c92b88b5769&vjs=3,08-27-2022
41, Maharashtra,Machine Learning Engineer,Pressman Advertising Ltd,"Mumbai, Maharashtra",Searching and selecting appropriate data sets before performing data collection and data modeling. Verifying data quality and/or ensuring it via data cleaning.,No Salary,/company/Pressman-Advertising-Ltd/jobs/Machine-Learning-Engineer-78875b918204a133?fccid=7c1b4c92b88b5769&vjs=3,08-27-2022
42, Maharashtra,Head of Academics - Data Science – Data Analytics- Mumbai,Morpheus Human Consulting,"Mumbai, Maharashtra",Experience as data analyst or as academic coordinator. Experience: Minimum 1 year experience as data analyst or as academic coordinator.,"₹8,00,000 a year",/company/Morpheus-Human-Consulting/jobs/Head-Academic-9f11b99e5b08ee92?fccid=b11361d0457f795a&vjs=3,08-27-2022
43, Maharashtra,DATA SCIENCE TRAINER,Nettech India,"Thane, Maharashtra","POSITION TITLE*- DATA SCIENCE TRAINER. Teach PYTHON programming , machine learning and AI. Good knowledge in python , machine learning, Data Manipulation and…","₹20,000 - ₹50,000 a month",/company/Nettech-India/jobs/Data-Science-Trainer-73955fb944b8cec7?fccid=77ea07edcba439c3&vjs=3,08-27-2022
44, Maharashtra,Business Intelligence /Data Visualization Developer – Data A...,Morpheus Human Consulting,"Mumbai, Maharashtra",Understand the data structure and prep the data for Analytics. We combine data science with pragmatic business experience to develop advanced — yet…,"₹8,00,000 - ₹12,00,000 a year",/company/Morpheus-Human-Consulting/jobs/Business-Intelligence-5e85822f3def085a?fccid=b11361d0457f795a&vjs=3,08-27-2022
45, Karnataka,Deep Learning Deployment Engineer (Cloud),Conxai Technologies GmbH,"Bengaluru, Karnataka","We are building the first NO-CODE AI PLATFORM for the AEC industry, with the 3rd generation Explainable AI, that allows users to create complex use cases with…","₹20,00,000 - ₹28,00,000 a year",/rc/clk?jk=17015a5c0fdd4a25&fccid=3223629b914c825f&vjs=3,08-27-2022
46, Maharashtra,Full stack Developer – Data Analytics- Mumbai,Morpheus Human Consulting,"Mumbai, Maharashtra",Integrating data from various back-end services and databases. We combine data science with pragmatic business experience to develop advanced — yet…,"₹8,00,000 a year",/company/Morpheus-Human-Consulting/jobs/Full-Stack-Developer-Data-Analytic-c3f5436a01f8df33?fccid=b11361d0457f795a&vjs=3,08-27-2022
47, Maharashtra,Full stack Developer – Data Analytics- Mumbai,Morpheus Human Consulting,"Mumbai, Maharashtra",Integrating data from various back-end services and databases. We combine data science with pragmatic business experience to develop advanced — yet…,No Salary,/company/Morpheus-Human-Consulting/jobs/Full-Stack-Developer-Data-Analytic-c3f5436a01f8df33?fccid=b11361d0457f795a&vjs=3,08-27-2022
48,Remote,Remote DevOps Engineer (Blockchain and Natural Language Proc...,Turing,Remote,Analyze data on the platform and compute Kubernetes clusters. Only candidates with 3+ years of overall software development experience are eligible for this…,No Salary,/company/Turing/jobs/Devop-Engineer-4ca99adc9162dc70?fccid=9e91ba2e9cfc16b4&vjs=3,08-27-2022
49, Haryana+1 location,Analyst - Data Science,American Express,"Gurgaon, Haryana+1 location","0-4 years experience in analytics or big data workstreams. Experience with atleast one of the data manipulation tools such as R, JAVA, SQL and SAS is a must…",No Salary,/rc/clk?jk=e4ba9d51dd2f6c1e&fccid=f057e04c37cca134&vjs=3,08-26-2022
50, Karnataka,Data Scientist – AI / Deep Learning for Automated Driving,Bosch,"Bengaluru, Karnataka",3.Most importantly – data aptitude. 1.Looking at the nature of the data. 8.Define the next set of data or experiments forward.,No Salary,/rc/clk?jk=740c9a15f95357d1&fccid=a2faf1301ac6ad4b&vjs=3,08-26-2022
51, Haryana,Data & Analytics Analyst,NatWest Group,"Gurgaon, Haryana","Knowledge of data engineering, data science and decisioning disciplines. Strong knowledge of data management principles.",No Salary,/rc/clk?jk=6eaba3725e02c411&fccid=4a3a2b1eb3ec0691&vjs=3,08-26-2022
52, Haryana,"Data & Analytics Analyst, Associate VP",NatWest Group,"Gurgaon, Haryana","Good knowledge of data engineering, data science and decisioning disciplines. Along with advanced analytics knowledge, you’ll bring an ability to simplify data…",No Salary,/rc/clk?jk=61af061db9e43f09&fccid=4a3a2b1eb3ec0691&vjs=3,08-26-2022
53, Haryana,"Data & Analytics Analyst, Associate VP",NatWest Group,"Gurgaon, Haryana","Good knowledge of data engineering, data science and decisioning disciplines. Along with advanced analytics knowledge, you’ll bring an ability to simplify data…",No Salary,/rc/clk?jk=61af061db9e43f09&fccid=4a3a2b1eb3ec0691&vjs=3,08-26-2022
54, Kerala,Manager - Data Scientist,EY,"Thiruvananthapuram, Kerala",Mentor and manage junior data scientists. The candidate must have a total of above 8 years of experience with minimum 5 years of solid experience as a data…,No Salary,/rc/clk?jk=14e36266ed69c767&fccid=1544766d4c2915b0&vjs=3,08-26-2022
55, Gujarat,DATA SCIENTIST,Protocolzone,"Ahmedabad, Gujarat","Experience in using any of the deep learning frameworks ( Tensorflow, Keras, and Pytorch etc) in a professional environment.",No Salary,/rc/clk?jk=d0da0a9baa26867b&fccid=9d7b4398dcef461f&vjs=3,08-26-2022
56, Telangana,Data Scientist,Genzeon,"Hyderabad, Telangana","Study and transform data science prototypes. Understanding of NLP techniques for text representation, semantic extraction techniques, data structures and…",No Salary,/rc/clk?jk=5ec0593dd1ca419a&fccid=427ea99184cf7715&vjs=3,08-26-2022
57, Haryana,"Data & Analytics Manager, VP",NatWest Group,"Gurgaon, Haryana","Excellent knowledge of data engineering, data science and decisioning disciplines. You’ll also know how to simplify data into clear data visualisations by using…",No Salary,/rc/clk?jk=8bfe4cbe979acc9a&fccid=4a3a2b1eb3ec0691&vjs=3,08-26-2022
58, Telangana,Data Science Analyst Expert - Associate,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana","Experience in Python, SQL, and Big data/cloud (AWS) environments. Within our Data Consumption Sourcing and Product Team, our Data Science Analyst Experts team…",No Salary,/rc/clk?jk=9ccc9e098d52f8bd&fccid=aaf3b433897ea465&vjs=3,08-26-2022
59, Telangana,Data Science Analyst Expert - Associate,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana","Experience in Python, SQL, and Big data/cloud (AWS) environments. Within our Data Consumption Sourcing and Product Team, our Data Science Analyst Experts team…",No Salary,/rc/clk?jk=9ccc9e098d52f8bd&fccid=aaf3b433897ea465&vjs=3,08-26-2022
60, Karnataka,Data Engineer specialist,Siemens Healthineers,"Bengaluru, Karnataka","Expert knowledge and multi-year (4+) experience on data transformation, data bases, data governance and data quality management. Full / Part time: Full-time.",No Salary,/rc/clk?jk=76a78d4dc39fa551&fccid=c5679bf29a1db253&vjs=3,08-26-2022
61, Maharashtra,Senior Data Scientist,Snowflake,"Pune, Maharashtra","Analyze large amounts of messy data, work on data quality, uncover actionable insights and present them in a compelling manner.",No Salary,/rc/clk?jk=8059c007ec60eaf8&fccid=fbedd6450a2f872c&vjs=3,08-26-2022
62, Telangana,Product Data Scientist,Waymo,"Hyderabad, Telangana","Demonstrated ability to extract actionable insights from data. Expertise using SQL to extract, clean, and transform data in large, complex, nested, databases.",No Salary,/rc/clk?jk=6f2d5e1da890a660&fccid=73ceef0a2153d2b8&vjs=3,08-26-2022
63, Karnataka,Data Scientist III,Groupon,"Bengaluru, Karnataka","Develop algorithms, data pipelines, and automated processes to create a data science backed solution that meets a business need for improving our customer or…",No Salary,/rc/clk?jk=e6dc086c087be0e8&fccid=863ad2cc91c92c82&vjs=3,08-26-2022
64, Kerala,Tech Consulting- IA-Data Scientist- Manager,EY,"Kochi, Kerala","Communicate with internal stakeholders to make recommendations based on data. Experience in data processing with Python, R & SQL. Run Scrum calls for team.",No Salary,/rc/clk?jk=4d54c977662e40ac&fccid=1544766d4c2915b0&vjs=3,08-26-2022
65, Kerala,Tech Consulting- IA-Data Scientist- Manager,EY,"Kochi, Kerala","Communicate with internal stakeholders to make recommendations based on data. Experience in data processing with Python, R & SQL. Run Scrum calls for team.",No Salary,/rc/clk?jk=4d54c977662e40ac&fccid=1544766d4c2915b0&vjs=3,08-26-2022
66, Maharashtra,Customer Segmentation Analytics Associate,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Become a trusted partner and thought leader on customer data and data science & analytics techniques. Build expertise on customer data from all Chase lines of…,No Salary,/rc/clk?jk=7cef851097e893a8&fccid=aaf3b433897ea465&vjs=3,08-26-2022
67, Karnataka,"Data Scientist, Sr",Lam Research,"Bengaluru, Karnataka","Effectively analyze the source data and write SQL scripts to integrate data from multiple data sources. Understanding with Data analysis, data mapping, data…",No Salary,/rc/clk?jk=918cc90147c5eca5&fccid=fb90332c857e2826&vjs=3,08-26-2022
68, Maharashtra,Risk Analytics (Risk Management),Morgan Stanley,"Mumbai, Maharashtra","The Market Risk Analytics group develops, maintains and monitors the performance of market risk (VaR, Stressed VaR, IRC and CRM) and stress testing models for…",No Salary,/rc/clk?jk=39286ae854cb93fd&fccid=0c39fb2c91742dcf&vjs=3,08-26-2022
69, Karnataka,Mindshare | Director - Data Science & Analytics,Mindshare,"Bengaluru, Karnataka","Supervise, train and mentor experienced and junior data scientists. Knowledge of visual techniques for data analysis and presentation.",No Salary,/rc/clk?jk=1c71e825846350bb&fccid=7c09b9795120f0d4&vjs=3,08-26-2022
70, Maharashtra,Senior Data Scientist,Tata nexarc,"Mumbai, Maharashtra","For MSMEs) analyzing large sets of data to derive insights for co-creating quant. Accordingly, within nexarc, one of the key verticals is financial services –…",No Salary,/rc/clk?jk=d5d63878476d059a&fccid=dd616958bd9ddc12&vjs=3,08-26-2022
71, Maharashtra,Senior Data Scientist,Tata nexarc,"Mumbai, Maharashtra","For MSMEs) analyzing large sets of data to derive insights for co-creating quant. Accordingly, within nexarc, one of the key verticals is financial services –…",No Salary,/rc/clk?jk=d5d63878476d059a&fccid=dd616958bd9ddc12&vjs=3,08-26-2022
72, Delhi,Application Developer for Advance Analytics,IBM,"New Delhi, Delhi","Candidate should have experience with big data (Hadoop, Spark (Scala/Python) and Hive) experience of min 3yrs. Come to IBM and make a global impact!",No Salary,/rc/clk?jk=c6767320d4412e72&fccid=de71a49b535e21cb&vjs=3,08-26-2022
73, Karnataka,Data Science Engineer,Silverpeople,"Bengaluru, Karnataka","Build a scalable, reliable, operable and performant data analytics platform for 56’s engineers, data scientists, products and operations teams.",No Salary,/rc/clk?jk=483b6d96ac324193&fccid=bfeeb443501e2c91&vjs=3,08-26-2022
74, West Bengal,EY - GDS Consulting - Data Scientist - Manager,EY,"Kolkata, West Bengal","Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.",No Salary,/rc/clk?jk=1ebec77981c2752b&fccid=1544766d4c2915b0&vjs=3,08-26-2022
75, Kerala,Commercial Analytics - BSD,EY,"Thiruvananthapuram, Kerala","Engagement delivery with global teams around data and analytics strategies such as assessing data and analytics maturity, governance, etc.",No Salary,/rc/clk?jk=9315da26fdba8628&fccid=1544766d4c2915b0&vjs=3,08-26-2022
76, Telangana,Data Scientist -ZELM,Genzeon,"Hyderabad, Telangana","Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.",No Salary,/rc/clk?jk=826906adcd546a2d&fccid=427ea99184cf7715&vjs=3,08-26-2022
77, Telangana,Data Scientist -ZELM,Genzeon,"Hyderabad, Telangana","Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.",No Salary,/rc/clk?jk=826906adcd546a2d&fccid=427ea99184cf7715&vjs=3,08-26-2022
78, Karnataka,"Applied Scientist III, Sr. Applied Scientist, MARS",ADCI - Karnataka,"Bengaluru, Karnataka",Strong communication and data presentation skills. Mentor other applied scientist in the team. You will collaborate with engineers and other scientists to build…,No Salary,/rc/clk?jk=4a2c779ac975745e&fccid=fe2d21eef233e94a&vjs=3,08-26-2022
79,Telangana+1 location,Analytics Associate Manager,WELLS FARGO BANK,Telangana+1 location,Ensure adherence to data management/ data governance regulations and policies. Ensures adherence to data management/data governance regulations and policies.,No Salary,/rc/clk?jk=383b88b01f97bf7b&fccid=78bbcd26e39621f5&vjs=3,08-26-2022
80, Tamil Nadu,Data Scientist,Shell,"Chennai, Tamil Nadu",This policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to Royal Dutch…,No Salary,/rc/clk?jk=a0b0a399196572f8&fccid=167aa4ca2fe7d8e6&vjs=3,08-26-2022
81, Haryana,Deep Learning Engineer,Mee 2 Bee,"Gurgaon, Haryana","Rs 2,000,000.00 - 2,500,000.00 (Indian Rupee). Job Openings Deep Learning Engineer. About the job Deep Learning Engineer. What You’ll Get to Do:","₹20,00,000 - ₹25,00,000 a year",/rc/clk?jk=1900bfd91772a8a8&fccid=dd616958bd9ddc12&vjs=3,08-26-2022
82, Uttar Pradesh,Senior Manager - Data Scientist - LDT,Genpact,"Noida, Uttar Pradesh",Develop custom data models and algorithms to apply to data sets. Assess the efficiency and accuracy of new data sources and data gathering techniques.,No Salary,/rc/clk?jk=6ee85efeb562809f&fccid=afe30394bfba1470&vjs=3,08-26-2022
83, Uttar Pradesh,Senior Manager - Data Scientist - LDT,Genpact,"Noida, Uttar Pradesh",Develop custom data models and algorithms to apply to data sets. Assess the efficiency and accuracy of new data sources and data gathering techniques.,No Salary,/rc/clk?jk=6ee85efeb562809f&fccid=afe30394bfba1470&vjs=3,08-26-2022
84, Karnataka,Quantitative Analytic Manager - NLP,Wells Fargo,"Bengaluru, Karnataka",Person would be required to manage team of at least 7 data scientists on various data science projects and work closely with business partners across the…,No Salary,/rc/clk?jk=af76e8aba5163f44&fccid=78bbcd26e39621f5&vjs=3,08-26-2022
85, Telangana+1 location,DG-Assistant Manager Data Scientist,Genpact,"Hyderabad, Telangana+1 location",Automate data preparation via data pipelines and insights/report creation where possible. Ability to handle various data sources (format – structured and…,No Salary,/rc/clk?jk=602c162a462cadaf&fccid=afe30394bfba1470&vjs=3,08-26-2022
86, Haryana,Manager - ML Engineer,Genpact,"Gurgaon, Haryana",Develop custom data models and algorithms to apply to data sets. Assess the efficiency and accuracy of new data sources and data gathering techniques.,No Salary,/rc/clk?jk=d6e6c8381004bf96&fccid=afe30394bfba1470&vjs=3,08-26-2022
87, Tamil Nadu,AI/ML Lead,Vega Intellisoft,"Chennai, Tamil Nadu","Identifying opportunities to apply the latest advancements in Machine Learning and Artificial Intelligence to build, test, and validate predictive models…",No Salary,/rc/clk?jk=7c08f2fdd63465da&fccid=c52e3ab6ec07c100&vjs=3,08-26-2022
88, Telangana,NLP Engineer,Genzeon,"Hyderabad, Telangana","Extensive knowledge of data structures, data modeling, and software architecture. Good data storytelling and communication skills. Exp- 2 to 5 yrs.",No Salary,/rc/clk?jk=55f3a8ef2a9d32e1&fccid=427ea99184cf7715&vjs=3,08-26-2022
89, Telangana,NLP Engineer,Genzeon,"Hyderabad, Telangana","Extensive knowledge of data structures, data modeling, and software architecture. Good data storytelling and communication skills. Exp- 2 to 5 yrs.",No Salary,/rc/clk?jk=55f3a8ef2a9d32e1&fccid=427ea99184cf7715&vjs=3,08-26-2022
90,Telangana+2 locations,Senior Analytics Consultant,Wells Fargo,Telangana+2 locations,"Advanced experience with data management including data modeling, data integrity and data quality. Experience in data processing, database programming, and/or…",No Salary,/rc/clk?jk=4640cacf3ee63d65&fccid=78bbcd26e39621f5&vjs=3,08-26-2022
